entity_id,nucleus,label,sublabel,lens_id,translator_version
discogs:1991927,1991927,David Soul,David Soul · 1976,discogs_v1,1.0.0
discogs:1409836,1409836,Tropics And Meridians,June Of 44 · 1996,discogs_v1,1.0.0
discogs:753928,753928,The Sea And The Bells,Rachel's · 1996,discogs_v1,1.0.0
discogs:20101264,20101264,Midnight Cowboy (Original Motion Picture Score),Various · 2021,discogs_v1,1.0.0
discogs:2667826,2667826,How The Grinch Stole Christmas,Dr. Seuss · 1975,discogs_v1,1.0.0
discogs:5319791,5319791,The Complete Sun Sessions,Elvis Presley · 1987,discogs_v1,1.0.0
discogs:5128111,5128111,Wrapped In Red,Kelly Clarkson · 2013,discogs_v1,1.0.0
discogs:26881832,26881832,About U,Muna · 2023,discogs_v1,1.0.0
discogs:3355770,3355770,A Merry Mancini Christmas,Henry Mancini And His Orchestra And Chorus · 1976,discogs_v1,1.0.0
discogs:2746635,2746635,Elvis In Concert,Elvis Presley · 1977,discogs_v1,1.0.0
discogs:3147243,3147243,A Canadian Tribute,Elvis Presley · 1978,discogs_v1,1.0.0
discogs:8284392,8284392,Aladdin Sane,David Bowie · 1973,discogs_v1,1.0.0
discogs:9674008,9674008,Wilson Pickett,Wilson Pickett · 1974,discogs_v1,1.0.0
discogs:3183141,3183141,Aloha From Hawaii Via Satellite,Elvis Presley · 1973,discogs_v1,1.0.0
discogs:1421937,1421937,Elvis' Christmas Album,Elvis Presley · 1970,discogs_v1,1.0.0
discogs:2495977,2495977,C'mon Everybody,Elvis Presley · 1971,discogs_v1,1.0.0
discogs:3249164,3249164,Andy Williams,Andy Williams · 1971,discogs_v1,1.0.0
discogs:2495987,2495987,"Elvis Sings Hits From His Movies, Volume 1",Elvis Presley · 1972,discogs_v1,1.0.0
discogs:2130601,2130601,"Burning Love And Hits From His Movies, Vol. 2",Elvis Presley · 1972,discogs_v1,1.0.0
discogs:34495066,34495066,Imaginary Appalachia,Colter Wall · 2025,discogs_v1,1.0.0
discogs:1691481,1691481,Firebird,Tomita · 1976,discogs_v1,1.0.0
discogs:1440550,1440550,The Number One Hits,Elvis Presley · 1987,discogs_v1,1.0.0
discogs:3846487,3846487,Elvis In Nashville 1956 - 1971,Elvis Presley · 1988,discogs_v1,1.0.0
discogs:733321,733321,Raised On Rock / For Ol' Times Sake,Elvis Presley · 1973,discogs_v1,1.0.0
discogs:3519935,3519935,The Bargain Store,Dolly Parton · 1975,discogs_v1,1.0.0
discogs:1707551,1707551,Dreaming My Dreams,Waylon Jennings · 1975,discogs_v1,1.0.0
discogs:20255188,20255188,Best Of Dolly Parton,Dolly Parton · 1975,discogs_v1,1.0.0
discogs:1707516,1707516,Are You Ready For The Country,Waylon Jennings · 1976,discogs_v1,1.0.0
discogs:6117487,6117487,G.I. Blues,Elvis Presley · 1980,discogs_v1,1.0.0
discogs:6084098,6084098,Good Times,Elvis Presley · 1974,discogs_v1,1.0.0
discogs:710506,710506,Diamond Dogs,David Bowie · 1974,discogs_v1,1.0.0
discogs:2496070,2496070,Recorded Live On Stage In Memphis,Elvis Presley · 1974,discogs_v1,1.0.0
discogs:3151324,3151324,Memories Of Christmas,Elvis Presley · 1982,discogs_v1,1.0.0
discogs:3138909,3138909,Great Country Hits Of The Year,Various · 1974,discogs_v1,1.0.0
discogs:1841133,1841133,Loving You,Elvis Presley · 1957,discogs_v1,1.0.0
discogs:3399492,3399492,How Great Thou Art,Elvis Presley · 1967,discogs_v1,1.0.0
discogs:521508,521508,Calypso,Harry Belafonte · 1956,discogs_v1,1.0.0
discogs:1615714,1615714,Elvis,Elvis Presley · 1956,discogs_v1,1.0.0
discogs:3751792,3751792,"Elvis' Golden Records, Volume 3",Elvis Presley · 1963,discogs_v1,1.0.0
discogs:4118915,4118915,Elvis (TV Special),Elvis Presley · 1968,discogs_v1,1.0.0
discogs:2774794,2774794,The Other Sides - Worldwide Gold Award Hits - Vol. 2,Elvis Presley · 1971,discogs_v1,1.0.0
discogs:4354286,4354286,Just The Two Of Us,Porter Wagoner And Dolly Parton · 1968,discogs_v1,1.0.0
